job_id,machine_id,op_seq,A_lj,S_lj,C_lj,planned_C_lj,tidal_wait,PELABUHAN_LOGIS,congestion_wait,total_wait
18,37,5,297.0,297.0,301.0,301.0,0.0,AMBON,0.0,0.0
18,49,6,317.0,317.0,319.0,319.0,0.0,BANDA,0.0,0.0
18,75,7,329.0,329.0,331.0,331.0,0.0,GESER,0.0,0.0
18,46,8,343.0,343.0,352.0,352.0,0.0,FAKFAK,0.0,0.0
18,75,9,365.0,365.0,367.0,367.0,0.0,GESER,0.0,0.0
19,4,0,153.0,153.0,171.0,171.0,0.0,SURABAYA,0.0,0.0
19,15,1,202.0,202.0,204.0,204.0,0.0,MAKASSAR,0.0,0.0
19,36,2,220.0,220.0,223.0,223.0,0.0,BAUBAU,0.0,0.0
19,76,3,240.0,240.0,241.0,241.0,0.0,BANGGAI,0.0,0.0
19,51,4,257.0,257.0,259.0,259.0,0.0,BITUNG,0.0,0.0
19,52,5,269.0,269.0,271.0,271.0,0.0,TERNATE,0.0,0.0
19,37,6,293.0,293.0,295.0,295.0,0.0,AMBON,0.0,0.0
19,38,7,317.0,317.0,319.0,319.0,0.0,SORONG,0.0,0.0
19,41,8,333.0,333.0,335.0,335.0,0.0,MANOKWARI,0.0,0.0
19,42,9,345.0,345.0,347.0,347.0,0.0,BIAK,0.0,0.0
20,38,0,240.0,240.0,246.0,246.0,0.0,SORONG,0.0,0.0
20,37,1,280.0,280.0,283.0,283.0,0.0,AMBON,0.0,0.0
20,1,2,314.0,314.0,316.0,316.0,0.0,WANCI,0.0,0.0
20,36,3,325.0,325.0,328.0,328.0,0.0,BAUBAU,0.0,0.0
20,34,4,350.0,350.0,352.0,352.0,0.0,MAUMERE,0.0,0.0
20,35,5,362.0,362.0,364.0,364.0,0.0,LEWOLEBA,0.0,0.0
20,11,6,377.0,377.0,383.0,383.0,0.0,KUPANG,0.0,0.0
20,12,7,398.0,398.0,400.0,400.0,0.0,KALABAHI,0.0,0.0
20,68,8,441.0,441.0,443.0,443.0,0.0,SAUMLAKI,0.0,0.0
20,48,9,463.0,463.0,468.0,468.0,0.0,TUAL,0.0,0.0
21,51,0,101.0,101.0,113.0,113.0,0.0,BITUNG,0.0,0.0
21,52,1,127.0,127.0,129.0,129.0,0.0,TERNATE,0.0,0.0
21,37,2,157.0,157.0,160.0,160.0,0.0,AMBON,0.0,0.0
21,48,3,188.0,188.0,191.0,191.0,0.0,TUAL,0.0,0.0
21,47,4,201.0,201.0,203.0,203.0,0.0,DOBO,0.0,0.0
21,69,5,220.0,220.0,222.0,222.0,0.0,TIMIKA,0.0,0.0
21,70,6,234.0,235.0,237.0,236.0,1.0,AGATS,0.0,1.0
21,71,7,276.0,276.0,290.0,289.0,0.0,MERAUKE,0.0,0.0
21,70,8,335.0,335.0,337.0,336.0,0.0,AGATS,0.0,0.0
21,69,9,359.0,359.0,361.0,360.0,0.0,TIMIKA,0.0,0.0
22,24,0,55.0,55.0,58.0,58.0,0.0,KIJANG,0.0,0.0
22,22,1,94.0,94.0,104.0,104.0,0.0,TANJUNG PRIOK,0.0,0.0
