job_id,voyage,first_arrival_hour,last_completion_hour,due_window_hours,due_hour_absolute,tardiness_hours,lateness_hours,earliness_hours,debug_status
8,19,6209.0,6526.0,336.0,6545.0,0.0,-19.0,19.0,ON_TIME
8,20,6545.0,6862.0,336.0,6881.0,0.0,-19.0,19.0,ON_TIME
8,21,6881.0,7204.0,336.0,7217.0,0.0,-13.0,13.0,ON_TIME
8,22,7217.0,7534.0,336.0,7553.0,0.0,-19.0,19.0,ON_TIME
8,23,7553.0,7870.0,336.0,7889.0,0.0,-19.0,19.0,ON_TIME
8,24,7889.0,8212.0,336.0,8225.0,0.0,-13.0,13.0,ON_TIME
8,25,8225.0,8542.0,336.0,8561.0,0.0,-19.0,19.0,ON_TIME
9,4,1318.0,1649.0,336.0,1654.0,0.0,-5.0,5.0,ON_TIME
9,6,2087.0,2390.0,336.0,2423.0,0.0,-33.0,33.0,ON_TIME
9,8,2823.0,3129.0,336.0,3159.0,0.0,-30.0,30.0,ON_TIME
9,16,6709.0,6827.0,336.0,7045.0,0.0,-218.0,218.0,ON_TIME
9,18,7376.0,7707.0,336.0,7712.0,0.0,-5.0,5.0,ON_TIME
9,19,7738.0,8014.0,336.0,8074.0,0.0,-60.0,60.0,ON_TIME
10,1,240.0,861.0,672.0,912.0,0.0,-51.0,51.0,ON_TIME
10,2,892.0,1507.0,672.0,1564.0,0.0,-57.0,57.0,ON_TIME
10,3,1538.0,2169.0,672.0,2210.0,0.0,-41.0,41.0,ON_TIME
10,4,2202.0,2839.0,672.0,2874.0,0.0,-35.0,35.0,ON_TIME
10,5,2872.0,3227.0,672.0,3544.0,0.0,-317.0,317.0,ON_TIME
10,7,4322.0,4919.0,672.0,4994.0,0.0,-75.0,75.0,ON_TIME
10,9,5593.0,6211.0,672.0,6265.0,0.0,-54.0,54.0,ON_TIME
10,10,6242.0,6861.0,672.0,6914.0,0.0,-53.0,53.0,ON_TIME
10,11,6892.0,7532.0,672.0,7564.0,0.0,-32.0,32.0,ON_TIME
11,5,2920.0,3255.0,336.0,3256.0,0.0,-1.0,1.0,ON_TIME
11,6,3265.0,3595.0,336.0,3601.0,0.0,-6.0,6.0,ON_TIME
11,8,3980.0,4297.0,336.0,4316.0,0.0,-19.0,19.0,ON_TIME
